timestamp,signal,price,direction,system,log_time,bar_timestamp,symbol
2025-04-02 11:50:00.191035-04:00,1,563.26,LONG,live,2025-04-02T11:50:00.241960,2025-04-02 11:50:00.191035,SPY
2025-04-02 11:50:34.580260-04:00,1,563.01,LONG,live,2025-04-02T11:50:34.601732,2025-04-02 11:50:34.580260,SPY
2025-04-02 11:50:34.707459-04:00,1,563.01,LONG,live,2025-04-02T11:50:34.725338,2025-04-02 11:50:34.707459,SPY
2025-04-02 11:51:00.134198-04:00,1,562.81,LONG,live,2025-04-02T11:51:00.185697,2025-04-02 11:51:00.134198,SPY
2025-04-02 11:51:34.820257-04:00,1,562.56,LONG,live,2025-04-02T11:51:34.841246,2025-04-02 11:51:34.820257,SPY
2025-04-02 11:51:34.959217-04:00,1,562.56,LONG,live,2025-04-02T11:51:34.976256,2025-04-02 11:51:34.959217,SPY
2025-04-02 11:52:00.148673-04:00,0,562.645,FLAT,live,2025-04-02T11:52:00.198457,2025-04-02 11:52:00.148673,SPY
2025-04-02 11:52:34.994850-04:00,0,562.505,FLAT,live,2025-04-02T11:52:35.014550,2025-04-02 11:52:34.994850,SPY
2025-04-02 11:52:35.121083-04:00,0,562.505,FLAT,live,2025-04-02T11:52:35.137321,2025-04-02 11:52:35.121083,SPY
2025-04-02 11:53:00.144218-04:00,-1,562.69,SHORT,live,2025-04-02T11:53:00.196404,2025-04-02 11:53:00.144218,SPY
2025-04-02 11:53:35.160597-04:00,-1,562.82,SHORT,live,2025-04-02T11:53:35.181570,2025-04-02 11:53:35.160597,SPY
2025-04-02 11:53:35.292452-04:00,-1,562.82,SHORT,live,2025-04-02T11:53:35.309785,2025-04-02 11:53:35.292452,SPY
2025-04-02 11:54:00.150668-04:00,1,562.97,LONG,live,2025-04-02T11:54:00.202824,2025-04-02 11:54:00.150668,SPY
2025-04-02 11:54:35.333469-04:00,1,562.85,LONG,live,2025-04-02T11:54:35.353162,2025-04-02 11:54:35.333469,SPY
2025-04-02 11:54:35.880890-04:00,1,562.85,LONG,live,2025-04-02T11:54:35.903664,2025-04-02 11:54:35.880890,SPY
2025-04-02 11:55:00.125578-04:00,0,562.84,FLAT,live,2025-04-02T11:55:00.174110,2025-04-02 11:55:00.125578,SPY
2025-04-02 11:55:35.903413-04:00,0,562.7,FLAT,live,2025-04-02T11:55:35.924576,2025-04-02 11:55:35.903413,SPY
2025-04-02 11:55:36.441257-04:00,0,562.7,FLAT,live,2025-04-02T11:55:36.462397,2025-04-02 11:55:36.441257,SPY
2025-04-02 11:56:00.125582-04:00,-1,562.55,SHORT,live,2025-04-02T11:56:00.172804,2025-04-02 11:56:00.125582,SPY
2025-04-02 11:56:36.148255-04:00,-1,562.415,SHORT,live,2025-04-02T11:56:36.169250,2025-04-02 11:56:36.148255,SPY
2025-04-02 11:56:36.751565-04:00,-1,562.415,SHORT,live,2025-04-02T11:56:36.772335,2025-04-02 11:56:36.751565,SPY
2025-04-02 11:57:00.165973-04:00,-1,562.25,SHORT,live,2025-04-02T11:57:00.217560,2025-04-02 11:57:00.165973,SPY
2025-04-02 11:57:36.778759-04:00,-1,562.06,SHORT,live,2025-04-02T11:57:36.797849,2025-04-02 11:57:36.778759,SPY
2025-04-02 11:57:37.332296-04:00,-1,562.06,SHORT,live,2025-04-02T11:57:37.352951,2025-04-02 11:57:37.332296,SPY
2025-04-02 11:58:00.157570-04:00,-1,561.84,SHORT,live,2025-04-02T11:58:00.207134,2025-04-02 11:58:00.157570,SPY
2025-04-02 11:58:37.342157-04:00,-1,561.6,SHORT,live,2025-04-02T11:58:37.363022,2025-04-02 11:58:37.342157,SPY
